"","artist_id","artist","image","genres","popularity","link","followers","id","image_url"
"1615","08p7B5OtcUuVblvkQIlBhJ","Tyrese","08p7B5OtcUuVblvkQIlBhJ.png","['contemporary r&b', 'hip hop', 'hip pop', 'neo soul', 'pop r&b', 'quiet storm', 'r&b', 'urban contemporary']",60,"https://api.spotify.com/v1/artists/08p7B5OtcUuVblvkQIlBhJ",1956403,"1lhB58Jj6V7ohrsEbog1OxU52hYXScDKo","https://drive.google.com/file/d/1lhB58Jj6V7ohrsEbog1OxU52hYXScDKo"
"1616","0rpMdBzQXf7aYRnu5fDBJy","Violent Femmes","0rpMdBzQXf7aYRnu5fDBJy.png","['acoustic punk', 'alternative rock', 'punk', 'rock']",62,"https://api.spotify.com/v1/artists/0rpMdBzQXf7aYRnu5fDBJy",550571,"1ztotv1lExMLjN6l-8tKszbFxl7k0ZhZV","https://drive.google.com/file/d/1ztotv1lExMLjN6l-8tKszbFxl7k0ZhZV"
"1617","1aSIXmBKKrEVIbGLwhedIe","Chely Wright","1aSIXmBKKrEVIbGLwhedIe.png","['country', 'country dawn', 'country rock', 'queer country']",39,"https://api.spotify.com/v1/artists/1aSIXmBKKrEVIbGLwhedIe",111281,"1yazOaCR4oPdoSipQoJAMRjR3EN2IUJ6d","https://drive.google.com/file/d/1yazOaCR4oPdoSipQoJAMRjR3EN2IUJ6d"
"1618","3kVUvbeRdcrqQ3oHk5hPdx","Grouplove","3kVUvbeRdcrqQ3oHk5hPdx.png","['indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp and holler']",70,"https://api.spotify.com/v1/artists/3kVUvbeRdcrqQ3oHk5hPdx",1069303,"1HbdJVotWtr6DP1tOhCUauB6JXZ_I0RRy","https://drive.google.com/file/d/1HbdJVotWtr6DP1tOhCUauB6JXZ_I0RRy"
"1619","6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","6ZLTlhejhndI4Rh53vYhrY.png","['album rock', 'birmingham metal', 'hard rock', 'metal', 'rock']",74,"https://api.spotify.com/v1/artists/6ZLTlhejhndI4Rh53vYhrY",4051123,"1yfy9KOehCrHzpRisoqLK-H3H-wP9hLzk","https://drive.google.com/file/d/1yfy9KOehCrHzpRisoqLK-H3H-wP9hLzk"
"1620","5Qi4Bb7a8C0a00NZcA77L0","D12","5Qi4Bb7a8C0a00NZcA77L0.png","['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",70,"https://api.spotify.com/v1/artists/5Qi4Bb7a8C0a00NZcA77L0",2187349,"1S0Aiepq6W8WZ82xLAjzVbigEC4iKYgJ9","https://drive.google.com/file/d/1S0Aiepq6W8WZ82xLAjzVbigEC4iKYgJ9"
"1621","2auiVi8sUZo17dLy1HwrTU","Solange","2auiVi8sUZo17dLy1HwrTU.png","['afrofuturism', 'alternative r&b', 'dance pop', 'escape room', 'hip pop', 'indie soul', 'neo soul', 'pop', 'r&b', 'urban contemporary']",65,"https://api.spotify.com/v1/artists/2auiVi8sUZo17dLy1HwrTU",1682685,"1mMD2LIaMfVXVe4rcYX573bTPc2-kFD70","https://drive.google.com/file/d/1mMD2LIaMfVXVe4rcYX573bTPc2-kFD70"
"1622","1Xylc3o4UrD53lo9CvFvVg","Zara Larsson","1Xylc3o4UrD53lo9CvFvVg.png","['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",79,"https://api.spotify.com/v1/artists/1Xylc3o4UrD53lo9CvFvVg",9759253,"1v9e4aIyzCWtLGHHQxY8tja5Uu5RY02Pt","https://drive.google.com/file/d/1v9e4aIyzCWtLGHHQxY8tja5Uu5RY02Pt"
"1623","7Mws36yO3takBR2WMsXOkM","Damu The Fudgemunk","7Mws36yO3takBR2WMsXOkM.png","['alternative hip hop', 'chillhop', 'hip hop', 'jazz boom bap', 'jazz rap', 'turntablism', 'underground hip hop']",48,"https://api.spotify.com/v1/artists/7Mws36yO3takBR2WMsXOkM",54666,"1qJbapNYnbCqxbSoF6YLZdorsTxZm8IrF","https://drive.google.com/file/d/1qJbapNYnbCqxbSoF6YLZdorsTxZm8IrF"
"1624","6GMYJwaziB4ekv1Y6wCDWS","Soulja Boy","6GMYJwaziB4ekv1Y6wCDWS.png","['atl hip hop', 'chicago bop', 'dance pop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'viral rap']",73,"https://api.spotify.com/v1/artists/6GMYJwaziB4ekv1Y6wCDWS",1468107,"1xVjmDC_VzcZ3b2ssPsgVvn7VJeOTZkU3","https://drive.google.com/file/d/1xVjmDC_VzcZ3b2ssPsgVvn7VJeOTZkU3"
